NOMBRE;GRATUITO;FECHA;FECHA-FIN;HORA;NOMBRE-INSTALACION;latitude;longitude;DISTRITO
Cine de verano. Dios mo, pero qu te hemos hecho?;0;2015-09-08;2015-09-08;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El ao ms violento;0;2015-09-10;2015-09-10;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El francotirador;0;2015-07-21;2015-07-21;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El maestro del agua;0;2015-08-07;2015-08-07;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El nio;0;2015-08-12;2015-08-12;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El nio 44;0;2015-09-11;2015-09-11;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El viaje ms largo;0;2015-08-05;2015-08-05;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Fuerza mayor;0;2015-08-11;2015-08-11;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Fuerza mayor;0;2015-08-09;2015-08-09;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Hablar;0;2015-07-22;2015-07-22;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Home: hogar, dulce hogar;0;2015-08-15;2015-08-15;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Ida;0;2015-08-19;2015-08-19;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Jurassic World;0;2015-09-09;2015-09-09;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Jurassic World;0;2015-08-01;2015-08-01;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Jurassic World;0;2015-07-30;2015-07-30;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Kingsman: servicio secreto;0;2015-09-02;2015-09-02;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Kingsman: servicio secreto;0;2015-08-28;2015-08-28;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. La dama de oro;0;2015-08-16;2015-08-16;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. La dama de oro;0;2015-08-20;2015-08-20;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
